date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:40	136288/136288	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2003:47:52%20GMT	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html	(from )
12:56:40	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20May%202026%2019:56:42%20GMT	https://dreamspos.dreamstechnologies.com/robots.txt		(from )
12:56:40	1892/1892	---M--	200	added ('OK')	image/png	etag:%22d9b-64e49d4f4c260%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/img/favicon.png	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/img/favicon.png	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:41	295/295	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20May%202026%2019:56:43%20GMT	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/img/apple-icon.png	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/img/apple-icon.png	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:41	232111/232111	---M-Z	200	added ('OK')	text/css	etag:%2238aaf-64e49d4f4ac2f-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/css/bootstrap.min.css	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:41	2450/2450	---M-Z	200	added ('OK')	text/javascript	etag:%22992-64e49d4f59d20-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/js/theme-script.js	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/js/theme-script.js	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:42	78985/78985	---M-Z	200	added ('OK')	text/css	etag:%2213489-64e49d4f5df53-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/lucide/lucide.css	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/lucide/lucide.css	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:42	3268/3268	---M-Z	200	added ('OK')	text/css	etag:%22cc4-64e49d4f6d9e3-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/simplebar/simplebar.min.css	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/simplebar/simplebar.min.css	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:42	14966/14966	---M-Z	200	added ('OK')	text/css	etag:%223a76-64e49d4f6d76a-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/select2/css/select2.min.css	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/select2/css/select2.min.css	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
12:56:43	7651/7651	---M-Z	200	added ('OK')	text/css	etag:%221de3-64e49d4f5b67c-gzip%22	https://dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/daterangepicker/daterangepicker.css	C:/My%20Web%20Sites/POS/dreamspos.dreamstechnologies.com/restaurant-pos/html/assets/plugins/daterangepicker/daterangepicker.css	(from https://dreamspos.dreamstechnologies.com/restaurant-pos/html/index.html)
